Mês;  Até 18 anos  ;R$ até 18 anos; 19-25 anos ;R$ 19-25 anos; 26-30 anos ;R$ 26-30 anos; 31-40 anos ;R$ 31-40 anos; 41-50 anos ;R$ 41-50 anos; 51-59 anos ;R$ 51-59 anos; ≥ 60 anos ;R$ ≥ 60 anos;  ≥ 80 anos ; R$ ≥ 80 anos
fev/16;113;201.070,32;1.004;1.238.890,41;5.433;6.931.742,64;19.141;31.956.597,82;17.095;37.145.801,54;12.635;33.681.678,84;8.464;38.844.218,43; Não disponível ;Não disponível
jan/16;282;518.663,43;3.622;4.503.170,91;18.732;24.176.538,93;67.612;119.817.450,55;60.181;137.685.466,74;44.241;111.670.509,47;12.903;51.628.199,97; Não disponível ;Não disponível
dez/15;4.306;6.376.441,12;135.684;78.665.958,29;440.196;353.833.896,06;1.056.429;1.225.364.333,04;721.489;1.126.828.640,17;442.794;745.316.290,45;18.214;63.614.440,87; Não disponível ;Não disponível
nov/15;3.348;4.526.660,65;95.947;55.011.439,79;318.336;248.547.055,38;759.780;797.883.532,18;563.018;761.287.756,58;396.722;569.009.478,06;16.319;63.734.077,36; Não disponível ;Não disponível
out/15;1.956;2.712.981,10;53.027;30.844.300,39;177.326;139.792.252,59;428.507;449.773.323,85;333.698;446.220.390,01;250.472;356.123.725,33;19.507;74.533.026,73; Não disponível ;Não disponível
set/15;3.246;4.373.279,40;88.913;52.030.826,51;293.306;233.418.092,28;715.923;752.226.531,50;578.717;756.997.259,59;452.872;628.440.641,55;22.109;72.513.369,17; Não disponível ;Não disponível
ago/15;2.253;3.216.767,74;69.649;42.417.141,03;232.496;193.656.481,01;591.961;678.032.559,98;494.485;721.619.850,24;382.052;591.213.158,05;54.222;169.844.041,95; Não disponível ;Não disponível
jul/15;1.280;1.816.296,79;34.922;24.793.844,25;128.639;125.749.590,06;358.512;512.272.775,88;309.300;595.139.654,12;239.240;457.113.023,77;450.773;783.114.815,13; Não disponível ;Não disponível
jun/15;237;275.968,39;1.720;1.528.714,87;5.956;6.351.753,02;19.954;32.177.648,50;28.422;51.557.041,24;43.502;69.825.165,16;1.406.137;2.238.283.708,82; Não disponível ;Não disponível
mai/15;213;230.836,50;2.160;1.299.157,67;8.479;6.371.238,43;25.761;29.818.251,50;23.190;39.042.856,89;17.821;36.202.437,89;10.999;37.035.221,12; Não disponível ;Não disponível
abr/15;187;312.252,77;1.535;1.780.546,66;7.205;7.266.075,04;23.024;33.155.230,93;20.554;41.534.100,80;15.123;36.109.568,50;8.792;29.842.225,30; Não disponível ;Não disponível
mar/15;153;323.221,33;1.672;1.968.601,12;8.254;8.580.723,36;26.839;39.376.796,60;23.309;49.422.734,75;18.354;51.943.233,44;21.787;88.384.689,40; Não disponível ;Não disponível
fev/15;147;282.723,87;3.176;3.216.360,27;17.084;18.889.069,36;54.265;81.981.433,03;48.187;95.748.942,72;33.360;76.532.791,80;4.546;23.348.678,95; Não disponível ;Não disponível
jan/15;600;1.064.413,63;8.233;8.309.660,07;43.324;48.508.593,06;150.494;237.680.963,04;135.496;288.731.282,23;97.934;242.323.482,81;36.495;115.253.994,94; Não disponível ;Não disponível
dez/14;2.224;3.012.917,01;81.051;42.613.637,54;244.745;182.730.858,09;553.370;602.616.925,68;368.647;546.808.780,14;219.430;346.238.712,82;21.714;75.978.168,72; Não disponível ;Não disponível
nov/14;3.534;4.607.431,91;109.635;58.719.397,43;340.277;249.445.431,42;776.814;770.828.719,06;564.261;734.026.104,21;371.479;505.584.100,48;21.462;76.788.815,49; Não disponível ;Não disponível
out/14;3.395;4.265.970,61;93.542;51.724.004,62;295.873;220.264.810,82;686.559;671.950.308,87;536.690;659.146.486,27;397.149;517.236.123,00;18.626;75.412.295,81; Não disponível ;Não disponível
set/14;3.301;4.101.703,15;89.305;50.843.247,88;276.907;210.780.137,51;662.878;679.147.042,76;555.150;714.004.047,60;436.566;586.884.837,39;32.007;154.238.983,71; Não disponível ;Não disponível
ago/14;2.107;2.712.554,85;66.321;38.769.240,80;207.147;167.390.061,07;520.689;570.322.368,61;452.881;625.039.816,40;349.292;502.738.883,68;25.957;93.027.074,59; Não disponível ;Não disponível
jul/14;812;1.182.124,33;22.504;15.926.193,22;82.612;79.806.988,54;235.298;333.531.776,56;211.047;413.221.457,75;151.987;294.927.902,29;417.894;661.403.557,31; Não disponível ;Não disponível
jun/14;259;316.122,42;1.397;1.138.548,82;4.502;4.676.149,18;15.473;22.392.178,25;24.227;38.402.863,13;39.629;56.274.729,46;1.275.541;1.876.799.408,74; Não disponível ;Não disponível
mai/14;184;269.481,84;1.897;1.503.924,34;8.207;6.288.451,46;23.835;26.455.871,04;21.141;33.827.539,41;17.270;38.595.997,47;15.870;55.807.801,02; Não disponível ;Não disponível
abr/14;189;261.749,83;2.831;2.237.133,98;11.977;10.889.192,31;35.980;51.131.252,27;32.613;70.099.887,71;26.318;77.988.182,11;21.121;103.039.285,30; Não disponível ;Não disponível
mar/14;  -    ;0; -   ;0; -   ;0;3;2.314,07;1;3.669,14;22;29.995,51;968;6.664.021,28; Não disponível ;Não disponível
fev/14;113;184.880,65;1.754;2.014.049,03;8.691;9.442.244,42;26.239;40.376.120,48;23.672;50.935.032,99;17.462;46.264.298,13;11.306;50.783.374,06; Não disponível ;Não disponível
jan/14;77;118.428,71;1.288;1.447.403,80;6.975;8.185.690,59;22.689;37.779.979,23;21.136;47.060.541,13;14.644;37.158.583,23;6.772;28.165.993,35; Não disponível ;Não disponível
dez/13;3.561;4.596.978,13;117.389;64.031.014,31;344.293;254.286.606,53;769.232;828.211.688,58;576.795;866.499.608,67;349.502;576.569.356,32;18.197;73.504.747,38; Não disponível ;Não disponível
nov/13;3.879;4.435.777,27;111.989;56.503.848,45;324.721;217.622.009,90;717.804;638.863.590,07;569.276;659.696.425,90;388.909;473.173.762,21;12.823;49.704.586,20; Não disponível ;Não disponível
out/13;2.696;3.012.951,40;73.358;38.305.105,25;214.398;146.784.619,32;480.922;430.950.677,48;406.183;459.314.765,62;303.573;360.338.020,06;16.481;61.293.860,87; Não disponível ;Não disponível
set/13;2.364;2.694.763,74;64.004;34.310.032,13;185.812;130.528.035,01;422.090;387.090.906,19;367.228;425.538.835,00;284.882;340.304.502,62;24.953;79.532.925,31; Não disponível ;Não disponível
ago/13;1.693;2.036.403,68;50.467;27.907.881,21;144.955;106.394.243,41;346.391;353.734.307,89;309.436;407.032.234,50;235.721;325.179.160,16;51.147;177.715.769,15; Não disponível ;Não disponível
jul/13;1.545;1.814.107,96;46.164;27.509.343,86;138.150;111.408.526,35;341.611;378.059.268,65;310.456;442.876.784,36;238.103;336.144.012,43;37.639;102.187.956,39; Não disponível ;Não disponível
jun/13;795;950.192,51;13.709;9.859.665,30;46.737;43.845.493,36;134.312;187.278.027,77;136.487;256.439.166,01;119.174;197.431.055,27;1.545.119;2.104.196.399,78; Não disponível ;Não disponível
mai/13;174;164.165,40;1.741;1.041.061,41;6.975;4.922.081,44;19.441;21.365.303,82;18.107;31.913.739,07;14.569;31.421.167,31;13.740;45.166.227,29; Não disponível ;Não disponível
abr/13;133;178.647,59;1.446;1.178.903,81;5.964;5.005.729,30;16.543;21.931.591,89;16.136;32.221.666,83;12.896;34.855.786,37;11.203;49.837.280,32; Não disponível ;Não disponível
mar/13;84;95.960,67;1.048;878.594,78;4.651;4.070.863,99;14.843;21.289.228,95;14.547;31.462.242,80;11.677;31.203.471,04;9.195;41.505.785,23; Não disponível ;Não disponível
fev/13;211;255.097,72;1.797;1.710.641,13;8.725;7.511.026,20;26.785;32.783.582,73;24.490;41.962.524,70;18.233;39.462.638,06;12.321;48.054.189,58; Não disponível ;Não disponível
jan/13;124;170.552,36;2.175;2.349.963,89;10.507;10.465.378,64;31.313;41.913.478,82;29.801;55.713.647,17;21.223;46.109.308,52;11.951;41.306.674,99; Não disponível ;Não disponível
